offense_id,occur_date,occur_day,occur_time,beat,zone,ibr_code,uc2_literal,neighborhood,npu,lat,long
210490980,2021-02-18,Thursday,14:23:00,414,4,13A,Agg Assault,NA,P,33.673496,-84.500223
210490998,2021-02-18,Thursday,10:00:00,401,4,23H,Larceny Non Vehicle,West End,T,33.741949,-84.422986
210490999,2021-02-16,Tuesday,14:35:00,603,6,23D,Larceny Non Vehicle,Old Fourth Ward,M,33.761619,-84.371518
210491011,2021-02-18,Thursday,14:43:00,211,2,23D,Larceny Non Vehicle,Lindbergh/Morosgo,B,33.822761,-84.365188
210491073,2021-02-17,Wednesday,21:00:00,410,4,23F,Larceny From Vehicle,Campbellton Road,R,33.70421,-84.464812
210491143,2021-02-19,Friday,15:21:00,508,5,23D,Larceny Non Vehicle,Downtown,M,33.76353,-84.394975
210491216,2021-02-17,Wednesday,02:00:00,207,2,23F,Larceny From Vehicle,Ardmore,E,33.803315,-84.393503
210491228,2021-02-18,Thursday,16:21:00,411,4,23H,Larceny Non Vehicle,Greenbriar,R,33.687056,-84.487601
210491231,2021-02-18,Thursday,15:35:00,510,5,23D,Larceny Non Vehicle,Downtown,M,33.754053,-84.379873
210491234,2021-02-18,Thursday,16:15:00,410,4,13A,Agg Assault,Campbellton Road,R,33.703897,-84.453136
210491247,2021-02-18,Thursday,16:04:00,504,5,23F,Larceny From Vehicle,Downtown,M,33.765134,-84.389234
210491447,2021-02-18,Thursday,17:43:00,104,1,13A,Agg Assault,Mozley Park,K,33.751353,-84.443821
210491542,2021-02-18,Thursday,12:00:00,404,4,23F,Larceny From Vehicle,Westview,T,33.744548,-84.436488
210491549,2021-02-18,Thursday,18:25:00,403,4,240,Auto Theft,Oakland City,S,33.720608,-84.424557
210491561,2021-02-18,Thursday,00:05:00,102,1,23F,Larceny From Vehicle,Vine City,L,33.763217,-84.416151
210491583,2021-02-17,Wednesday,20:30:00,601,6,23F,Larceny From Vehicle,Virginia Highland,F,33.776317,-84.356033
210491626,2021-02-18,Thursday,18:00:00,602,6,23F,Larceny From Vehicle,Inman Park,N,33.756583,-84.364038
210491649,2021-02-18,Thursday,19:20:00,502,5,220,Burglary,Sherwood Forest,E,33.801618,-84.379134
210491656,2021-02-18,Thursday,19:00:00,605,6,13A,Agg Assault,Grant Park,W,33.744766,-84.380201
210491684,2021-02-18,Thursday,18:50:00,501,5,23C,Larceny Non Vehicle,Atlantic Station,E,33.792107,-84.395641
